Final time of Execution: 0:37:26.996429
And the HyperVolume of the Last Frontier obtained is: 0.996618866918358.0, 1, 1.06547979744
917676.0, 913730.0, 1, 0.809003420673
919582.0, 906734.0, 1, 0.481564690731
920356.0, 904418.0, 1, 0.448393332699
946204.0, 906290.0, 2, inf
920840.0, 910282.0, 2, inf
921276.0, 925970.0, 2, inf
932020.0, 921278.0, 2, 0.79993579659
939948.0, 908788.0, 2, 0.632667323125
926118.0, 918084.0, 2, 0.618326868117
945748.0, 914682.0, 2, 0.525839083754
923134.0, 924968.0, 2, 0.429315123028
942922.0, 919956.0, 2, 0.390967304662
941964.0, 929468.0, 3, inf
957940.0, 922334.0, 3, inf
931326.0, 911380.0, 3, inf
925382.0, 926988.0, 3, inf
945016.0, 925716.0, 3, 0.576949932837
938348.0, 928622.0, 3, 0.417850100005
943724.0, 924090.0, 3, 0.260935106889
944372.0, 927820.0, 3, 0.130019161667
929854.0, 934710.0, 4, inf
945748.0, 914682.0, 4, inf
958548.0, 930252.0, 4, inf
942696.0, 940754.0, 4, inf
932098.0, 924280.0, 4, 0.834658446898
948730.0, 930050.0, 4, 0.604800619366
945748.0, 914682.0, 4, 0.472058562385
931328.0, 926114.0, 4, 0.299514720542
943586.0, 931406.0, 4, 0.277351732867
971042.0, 930944.0, 5, inf
947734.0, 917722.0, 5, inf
949658.0, 939868.0, 5, inf
931834.0, 931282.0, 5, inf
943684.0, 925258.0, 5, 0.617211388767
936200.0, 928830.0, 5, 0.379183725049
961664.0, 931602.0, 5, 0.366835634003
937470.0, 925730.0, 5, 0.352172648164
955906.0, 938780.0, 5, 0.34887999034
957498.0, 934012.0, 5, 0.323052130735
947986.0, 935504.0, 5, 0.264370091802
967168.0, 931350.0, 5, 0.25363544243
947492.0, 938802.0, 5, 0.15242375666
950560.0, 967432.0, 6, inf
994708.0, 938492.0, 6, inf
931894.0, 945102.0, 6, inf
947258.0, 926170.0, 6, inf
950056.0, 956460.0, 6, 0.430812419692
982868.0, 939284.0, 6, 0.347641588835
952384.0, 950226.0, 6, 0.269211395284
973264.0, 939072.0, 6, 0.241724425403
937138.0, 929740.0, 6, 0.218137190866
933128.0, 932024.0, 6, 0.193755524984
961904.0, 941318.0, 6, 0.175642822749
942324.0, 929064.0, 6, 0.169995209734
968890.0, 936290.0, 6, 0.156223248403
944878.0, 927810.0, 6, 0.148686540192
967680.0, 934290.0, 6, 0.12063176483
949692.0, 947724.0, 6, 0.11758962698
