Final time of Execution: 0:46:02.433055
And the HyperVolume of the Last Frontier obtained is: 0.977983906415 980636.0, 2, inf
1081016.0, 918156.0, 2, inf
1022336.0, 993212.0, 2, inf
1049560.0, 924186.0, 2, 0.668248493027
1023398.0, 953328.0, 2, 0.476440211514
1044046.0, 937846.0, 2, 0.407939938374
1031192.0, 932822.0, 2, 0.337521508288
1027478.0, 951006.0, 2, 0.241115146883
1031036.0, 944336.0, 2, 0.2343237103
1047218.0, 928022.0, 2, 0.202637388162
1098260.0, 921402.0, 3, inf
1025540.0, 1016414.0, 3, inf
1023894.0, 1000234.0, 3, inf
1084544.0, 927944.0, 3, 0.530427022418
1065414.0, 933140.0, 3, 0.433332912066
1024368.0, 981374.0, 3, 0.280844521845
1029932.0, 975058.0, 3, 0.276500872475
1060570.0, 924708.0, 3, 0.241756055304
1038958.0, 955610.0, 3, 0.177240354056
1025074.0, 966290.0, 3, 0.169382590563
1052556.0, 941274.0, 3, 0.167549999748
1050516.0, 938486.0, 3, 0.154189966001
1034804.0, 960462.0, 3, 0.13477791595
1026048.0, 959550.0, 3, 0.109221332295
1047456.0, 941560.0, 3, 0.0933614944222
1041478.0, 950570.0, 3, 0.0930925333688
1044744.0, 942770.0, 3, 0.0790666070647
1043612.0, 947338.0, 3, 0.0758845614541
1035326.0, 960376.0, 3, 0.0654576477534
1044134.0, 944828.0, 3, 0.0631656775033
1041778.0, 949682.0, 3, 0.0605866179631
1043622.0, 950368.0, 3, 0.0163655246437
1100706.0, 931228.0, 4, inf
1072390.0, 930730.0, 4, inf
1026540.0, 1040090.0, 4, inf
1089066.0, 942308.0, 4, 0.403573468745
1031580.0, 1016162.0, 4, 0.355921882053
1029988.0, 996458.0, 4, 0.269111068113
1027060.0, 1005820.0, 4, 0.194656595978
1035222.0, 982238.0, 4, 0.139654993767
1069274.0, 936662.0, 4, 0.129720095361
1033144.0, 970272.0, 4, 0.120621099358
1027614.0, 981396.0, 4, 0.0975441126246
1046880.0, 963868.0, 4, 0.0958594242446
1039862.0, 965644.0, 4, 0.0907209718029
1052168.0, 967096.0, 4, 0.0872769621502
1054792.0, 949864.0, 4, 0.084523331783
1042428.0, 975086.0, 4, 0.0844864263939
1058124.0, 952258.0, 4, 0.0843423625655
1063184.0, 944736.0, 4, 0.0811905161795
1063688.0, 955546.0, 4, 0.0788997357023
1066110.0, 941384.0, 4, 0.0776560369598
1049584.0, 962646.0, 4, 0.0762739137877
1067686.0, 938478.0, 4, 0.0758619329016
1058770.0, 960202.0, 4, 0.0738077734084
1035148.0, 975026.0, 4, 0.0720379806575
1035318.0, 981436.0, 4, 0.0702617017351
1060272.0, 962190.0, 4, 0.0681373833872
1044448.0, 948996.0, 4, 0.0606559809752
1053290.0, 947608.0, 4, 0.0560244125847
1040842.0, 956572.0, 4, 0.055545884821
1059788.0, 943766.0, 4, 0.0424537694076
1054020.0, 952188.0, 4, 0.0421428696271
1066850.0, 948132.0, 4, 0.0339416555452
1043556.0, 965930.0, 4, 0.0322471728094
1041610.0, 966192.0, 4, 0.0320464955331
1040648.0, 962734.0, 4, 0.0243877057971
1111436.0, 952346.0, 5, inf
1079494.0, 936982.0, 5, inf
1029786.0, 981698.0, 5, inf
1036696.0, 1012138.0, 5, inf
1086342.0, 957770.0, 5, 0.38482458613
1035434.0, 995302.0, 5, 0.267856946956
1044386.0, 987048.0, 5, 0.160899590212
1069980.0, 944406.0, 5, 0.134726424762
1080932.0, 954968.0, 5, 0.129108149395
1036556.0, 990988.0, 5, 0.119772570868
1051180.0, 982870.0, 5, 0.107853975876
1040876.0, 968064.0, 5, 0.0883662304921
1075492.0, 959698.0, 5, 0.086124890927
1033426.0, 980972.0, 5, 0.0860448744668
1054648.0, 977154.0, 5, 0.0837406422443
1057338.0, 973728.0, 5, 0.07599847561
1045382.0, 994888.0, 5, 0.0702358792426
1049670.0, 980430.0, 5, 0.0666736276522
1074676.0, 945486.0, 5, 0.063877085122
1039976.0, 969072.0, 5, 0.0632756583188
1063600.0, 947964.0, 5, 0.0617441593704
1066674.0, 972770.0, 5, 0.0603914187129
1053554.0, 951102.0, 5, 0.0593721593888
1070278.0, 962406.0, 5, 0.0568062758509
1065578.0, 966468.0, 5, 0.053841400538
1071654.0, 963744.0, 5, 0.0527634424867
1061924.0, 969958.0, 5, 0.0507805771751
1047664.0, 975354.0, 5, 0.0491728280905
1058868.0, 963362.0, 5, 0.0488623697003
1045194.0, 964382.0, 5, 0.048443019047
1079870.0, 946518.0, 5, 0.0463700722338
1046242.0, 975900.0, 5, 0.0462837570562
1065730.0, 956092.0, 5, 0.0460752312471
1079838.0, 950122.0, 5, 0.0460122277771
1055470.0, 951076.0, 5, 0.0459850434957
1068260.0, 971272.0, 5, 0.0455726570872
1059874.0, 971136.0, 5, 0.0454646637097
1062936.0, 971518.0, 5, 0.0404585131227
1071476.0, 960304.0, 5, 0.0404162889669
1048032.0, 958266.0, 5, 0.0371903561637
1071296.0, 957422.0, 5, 0.0369992755139
1064556.0, 969050.0, 5, 0.0289907923546
1065334.0, 945250.0, 5, 0.0268869503423
1050560.0, 970070.0, 5, 0.0237626105123
1048606.0, 970354.0, 5, 0.0230455768556
1064062.0, 970668.0, 5, 0.0221135361575
1049264.0, 975776.0, 5, 0.0202961198943
1050112.0, 1008620.0, 6, inf
1082384.0, 938668.0, 6, inf
1033316.0, 983022.0, 6, inf
1108188.0, 960382.0, 6, inf
1074676.0, 945486.0, 6, 0.171753363618
1094694.0, 964526.0, 6, 0.164729189051
1064782.0, 952296.0, 6, 0.164306741939
1046870.0, 1006278.0, 6, 0.143019185192
1088876.0, 958708.0, 6, 0.142385942212
1047158.0, 998856.0, 6, 0.14146635815
1041380.0, 977860.0, 6, 0.13976733772
1072016.0, 948244.0, 6, 0.128525672531
1048394.0, 991096.0, 6, 0.124361404794
1061140.0, 982214.0, 6, 0.117301689241
1050204.0, 997806.0, 6, 0.116836619829
1089416.0, 973790.0, 6, 0.109584954235
1104816.0, 967622.0, 6, 0.0983992155395
1083742.0, 963700.0, 6, 0.0909196892737
1076776.0, 986032.0, 6, 0.0888536838767
1057954.0, 961026.0, 6, 0.0861929214331
1064262.0, 979824.0, 6, 0.0832095773432
1099686.0, 982668.0, 6, 0.0823841643688
1043588.0, 975484.0, 6, 0.0731293270555
1086384.0, 970584.0, 6, 0.0666787847356
1100006.0, 969822.0, 6, 0.0647602466306
1043974.0, 971960.0, 6, 0.0623703337502
1052214.0, 987026.0, 6, 0.0616235148059
1054836.0, 984046.0, 6, 0.060899638341
1069484.0, 976482.0, 6, 0.0597464564592
1045400.0, 965646.0, 6, 0.0586072966787
1107764.0, 963718.0, 6, 0.0568449598935
1087410.0, 965946.0, 6, 0.056786360341
1054962.0, 987662.0, 6, 0.0539231847422
Generacion: 2
986258.0, 939842.0, 1, inf
