Final time of Execution: 0:11:19.250153
And the HyperVolume of the Last Frontier obtained is: 0.999567122553880.0, 2, inf
235718.0, 236940.0, 3, inf
229768.0, 237738.0, 3, inf
232018.0, 237614.0, 3, 2.0
230048.0, 237840.0, 4, 2.0
230924.0, 242878.0, 4, 2.0
233722.0, 238440.0, 5, inf
233400.0, 244360.0, 5, inf
230924.0, 242878.0, 5, inf
235924.0, 239772.0, 5, inf
232622.0, 241558.0, 5, 0.579632432432
232660.0, 241502.0, 5, 0.457289189189
232992.0, 247302.0, 6, inf
240264.0, 238966.0, 6, inf
233400.0, 244360.0, 6, 0.664786872161
236044.0, 245716.0, 6, 0.572123983032
237212.0, 240652.0, 6, 0.530751875571
234770.0, 242052.0, 6, 0.495533046587
234630.0, 240190.0, 6, 0.390649117695
235264.0, 240956.0, 6, 0.336181002937
236858.0, 240710.0, 6, 0.197084391741
238396.0, 240524.0, 7, inf
234832.0, 241506.0, 7, inf
238156.0, 249026.0, 7, inf
242056.0, 243248.0, 7, inf
239702.0, 245542.0, 7, 0.60228412154
237536.0, 244656.0, 7, 0.545843229383
237822.0, 245914.0, 7, 0.463772643685
235772.0, 241142.0, 7, 0.437822329864
238774.0, 240966.0, 7, 0.253475047106
237766.0, 242510.0, 7, 0.244483221067
238444.0, 241798.0, 8, inf
235952.0, 246856.0, 8, inf
244798.0, 244132.0, 8, inf
240878.0, 251628.0, 8, inf
239260.0, 249030.0, 8, 0.51816535639
240292.0, 250552.0, 8, 0.350150662092
237766.0, 246060.0, 8, 0.318595596081
238174.0, 242666.0, 8, 0.303907140355
242784.0, 246062.0, 8, 0.296805172444
241646.0, 249896.0, 8, 0.230798685039
241310.0, 251540.0, 8, 0.196279735379
241982.0, 244976.0, 8, 0.187034481046
242478.0, 246664.0, 8, 0.157441276744
237856.0, 245046.0, 8, 0.156397210641
242716.0, 246794.0, 8, 0.0541239507071
240826.0, 242322.0, 9, inf
247376.0, 246346.0, 9, inf
242752.0, 254486.0, 9, inf
236872.0, 251214.0, 9, inf
238746.0, 243270.0, 9, 0.470073128528
242434.0, 252230.0, 9, 0.385430407433
238012.0, 245710.0, 9, 0.373639343293
240796.0, 243216.0, 9, 0.275954691819
237234.0, 247754.0, 9, 0.24154553922
245194.0, 249362.0, 9, 0.226838375159
244062.0, 251536.0, 9, 0.196012455317
245906.0, 248514.0, 9, 0.185678251507
244454.0, 250414.0, 9, 0.181371221887
243098.0, 250790.0, 9, 0.16737614621
246950.0, 246266.0, 9, 0.138758182473
245584.0, 248018.0, 9, 0.096425457814
242822.0, 252028.0, 9, 0.089993433234
247120.0, 246064.0, 9, 0.0862646271457
244842.0, 251014.0, 9, 0.0786497957716
245744.0, 248500.0, 9, 0.0714310490822
244734.0, 247964.0, 9, 0.0586416962593
237766.0, 249114.0, 10, inf
244798.0, 244132.0, 10, inf
245328.0, 258008.0, 10, inf
252672.0, 249896.0, 10, inf
238934.0, 246370.0, 10, 0.491950053331
240164.0, 244520.0, 10, 0.371602930976
242402.0, 244442.0, 10, 0.206758239015
243160.0, 244440.0, 10, 0.182678851078
