Mem0 "182.27981375 (35.5164897831)"
Mem1 "183.5855993 (34.0419846834)"
Mem2 "183.22910755 (32.4209778898)"
Mem3 "181.2583957 (29.8355966861)"
Mem4 "185.2415731 (30.3166315687)"
Mem5 "186.70159495 (28.8397361991)"
Mem6 "185.38161905 (26.882237731)"
Mem7 "187.45877935 (27.977245925)"
Mem8 "196.30984985 (29.4588204585)"
Mem9 "196.59929905 (28.6413294135)"
Mem10 "196.5837422 (27.4729016477)"
Mem11 "195.88962415 (26.164786315)"
Mem12 "197.6712313 (27.5344732031)"
Mem13 "197.24006075 (26.7377563255)"
Mem14 "196.7676595 (25.7539931461)"
Mem15 "197.13461315 (27.4446520462)"
Mem16 "267.1029989 (94.2175877961)"
Mem17 "266.77130865 (95.380720015)"
Mem18 "267.60178185 (95.5225522626)"
Mem19 "265.3417245 (96.7817958231)"
Mem20 "264.6962429 (94.8600445889)"
Mem21 "265.4181794 (96.8520480405)"
Mem22 "263.6890679 (95.8060805455)"
Mem23 "262.4786611 (94.83105661)"
Mem24 "263.12132505 (97.0911045148)"
Mem25 "259.70754875 (93.6667230933)"
